"Year","Number","Name","Temperature","Humidity","WindSpeed","WeekDay","Months"
2017,31,"Heaton St",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,38,"Buckleys Rd",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,105,"Lincoln Rd",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,349,"Main Rd total cyclists",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,300,"North Hagley Park",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,244,"Main Rd on-road",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,105,"Main Rd shared path",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2017,396,"Cashmere Rd",23.04166667,46.70833333,32.45833333,"Sunday","Jan"
2018,70,"Papanui Rd",15.875,71.54166667,15,"Monday","Jan"
2018,38,"Heaton St",15.875,71.54166667,15,"Monday","Jan"
2018,33,"Main North Rd",15.875,71.54166667,15,"Monday","Jan"
2018,100,"Colombo St North",15.875,71.54166667,15,"Monday","Jan"
2018,30,"Yaldhurst Rd",15.875,71.54166667,15,"Monday","Jan"
2018,45,"Buckleys Rd",15.875,71.54166667,15,"Monday","Jan"
2018,31,"Worcester St",15.875,71.54166667,15,"Monday","Jan"
2018,127,"Lincoln Rd",15.875,71.54166667,15,"Monday","Jan"
2018,458,"North Hagley Park",15.875,71.54166667,15,"Monday","Jan"
2018,115,"St Asaph St",15.875,71.54166667,15,"Monday","Jan"
2018,260,"Main Rd on-road",15.875,71.54166667,15,"Monday","Jan"
2018,199,"Southern Mwy",15.875,71.54166667,15,"Monday","Jan"
2018,454,"Cashmere Rd",15.875,71.54166667,15,"Monday","Jan"
2018,371,"Railway Cwy",15.875,71.54166667,15,"Monday","Jan"
2018,102,"University Dr",15.875,71.54166667,15,"Monday","Jan"
2018,199,"Rutland Reserve",15.875,71.54166667,15,"Monday","Jan"
2018,477,"South Hagley Park",15.875,71.54166667,15,"Monday","Jan"
2019,53,"Papanui Rd",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,267,"Eco Display towards Antigua",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,31,"Heaton St",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,92,"Marshland Rd",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,86,"Colombo St North",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,59,"Buckleys Rd",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,138,"Lincoln Rd",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,588,"Main Rd total cyclists",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,517,"Eco Display Total Counts",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,137,"Antigua Street",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,117,"Linwood Ave Shared Path",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,455,"North Hagley Park",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,99,"St Asaph St",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,317,"Main Rd on-road",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,431,"Cashmere Rd",19.16666667,80.25,13.33333333,"Tuesday","Jan"
2019,333,"Railway Cwy",19.16666667,80.25,13.33333333,"Tuesday","Jan"
