"Hour","Year","Location","Temperature","Humidity","WindSpeed","Week","Percentage_Occupied","Months"
0,2019,"Art gallery",12,49,18,"Weekday",0,"Dec"
0,2019,"West End",12,49,18,"Weekday",65,"Dec"
0,2019,"Lichfield",12,49,18,"Weekday",0,"Dec"
1,2019,"Art gallery",10,68,14,"Weekday",0,"Dec"
1,2019,"West End",10,68,14,"Weekday",65,"Dec"
1,2019,"The Crossing",10,68,14,"Weekday",7,"Dec"
1,2019,"Hereford St",10,68,14,"Weekday",37,"Dec"
2,2019,"West End",9,71,13,"Weekday",64,"Dec"
2,2019,"Lichfield",9,71,13,"Weekday",0,"Dec"
2,2019,"Hereford St",9,71,13,"Weekday",37,"Dec"
2,2019,"The Crossing",9,71,13,"Weekday",7,"Dec"
3,2019,"Hereford St",8,73,12,"Weekday",36,"Dec"
3,2019,"West End",8,73,12,"Weekday",65,"Dec"
3,2019,"Art gallery",8,73,12,"Weekday",0,"Dec"
4,2019,"Hereford St",9,71,11,"Weekday",37,"Dec"
4,2019,"Art gallery",9,71,11,"Weekday",0,"Dec"
4,2019,"The Crossing",9,71,11,"Weekday",7,"Dec"
4,2019,"West End",9,71,11,"Weekday",65,"Dec"
4,2019,"Lichfield",9,71,11,"Weekday",0,"Dec"
5,2019,"Lichfield",8,71,10,"Weekday",0,"Dec"
5,2019,"The Crossing",8,71,10,"Weekday",7,"Dec"
6,2019,"Art gallery",8,73,8,"Weekday",0,"Dec"
6,2019,"Hereford St",8,73,8,"Weekday",37,"Dec"
6,2019,"The Crossing",8,73,8,"Weekday",7,"Dec"
7,2019,"Hereford St",12,61,5,"Weekday",38,"Dec"
7,2019,"West End",12,61,5,"Weekday",66,"Dec"
7,2019,"Art gallery",12,61,5,"Weekday",0,"Dec"
7,2019,"The Crossing",12,61,5,"Weekday",7,"Dec"
8,2019,"Hereford St",16,53,6,"Weekday",41,"Dec"
8,2019,"Art gallery",16,53,6,"Weekday",0,"Dec"
8,2019,"West End",16,53,6,"Weekday",67,"Dec"
9,2019,"Art gallery",19,49,9,"Weekday",2,"Dec"
9,2019,"Lichfield",19,49,9,"Weekday",12,"Dec"
9,2019,"Hereford St",19,49,9,"Weekday",47,"Dec"
9,2019,"West End",19,49,9,"Weekday",68,"Dec"
10,2019,"The Crossing",20,49,11,"Weekday",36,"Dec"
10,2019,"Lichfield",20,49,11,"Weekday",20,"Dec"
10,2019,"West End",20,49,11,"Weekday",70,"Dec"
11,2019,"West End",20,49,13,"Weekday",73,"Dec"
11,2019,"The Crossing",20,49,13,"Weekday",58,"Dec"
11,2019,"Hereford St",20,49,13,"Weekday",55,"Dec"
11,2019,"Art gallery",20,49,13,"Weekday",16,"Dec"
12,2019,"West End",21,49,13,"Weekday",75,"Dec"
12,2019,"The Crossing",21,49,13,"Weekday",77,"Dec"
12,2019,"Lichfield",21,49,13,"Weekday",43,"Dec"
12,2019,"Art gallery",21,49,13,"Weekday",22,"Dec"
13,2019,"The Crossing",22,48,14,"Weekday",79,"Dec"
13,2019,"Art gallery",22,48,14,"Weekday",24,"Dec"
13,2019,"West End",22,48,14,"Weekday",77,"Dec"
13,2019,"Lichfield",22,48,14,"Weekday",46,"Dec"
13,2019,"Hereford St",22,48,14,"Weekday",58,"Dec"
14,2019,"The Crossing",22,48,14,"Weekday",76,"Dec"
14,2019,"Lichfield",22,48,14,"Weekday",44,"Dec"
14,2019,"West End",22,48,14,"Weekday",74,"Dec"
15,2019,"Art gallery",22,48,14,"Weekday",12,"Dec"
15,2019,"West End",22,48,14,"Weekday",72,"Dec"
15,2019,"The Crossing",22,48,14,"Weekday",55,"Dec"
15,2019,"Hereford St",22,48,14,"Weekday",56,"Dec"
16,2019,"Hereford St",22,48,14,"Weekday",52,"Dec"
16,2019,"West End",22,48,14,"Weekday",69,"Dec"
16,2019,"Art gallery",22,48,14,"Weekday",2,"Dec"
16,2019,"The Crossing",22,48,14,"Weekday",39,"Dec"
16,2019,"Lichfield",22,48,14,"Weekday",23,"Dec"
17,2019,"Hereford St",21,50,14,"Weekday",46,"Dec"
17,2019,"The Crossing",21,50,14,"Weekday",23,"Dec"
17,2019,"West End",21,50,14,"Weekday",66,"Dec"
18,2019,"Hereford St",20,52,15,"Weekday",41,"Dec"
18,2019,"Art gallery",20,52,15,"Weekday",0,"Dec"
19,2019,"Lichfield",18,58,14,"Weekday",9,"Dec"
19,2019,"Art gallery",18,58,14,"Weekday",0,"Dec"
19,2019,"Hereford St",18,58,14,"Weekday",39,"Dec"
19,2019,"West End",18,58,14,"Weekday",65,"Dec"
19,2019,"The Crossing",18,58,14,"Weekday",17,"Dec"
20,2019,"West End",16,66,12,"Weekday",66,"Dec"
20,2019,"Art gallery",16,66,12,"Weekday",0,"Dec"
20,2019,"The Crossing",16,66,12,"Weekday",15,"Dec"
21,2019,"Hereford St",14,73,10,"Weekday",38,"Dec"
21,2019,"The Crossing",14,73,10,"Weekday",12,"Dec"
21,2019,"Lichfield",14,73,10,"Weekday",5,"Dec"
21,2019,"West End",14,73,10,"Weekday",66,"Dec"
22,2019,"The Crossing",13,79,6,"Weekday",9,"Dec"
22,2019,"Hereford St",13,79,6,"Weekday",38,"Dec"
23,2019,"The Crossing",13,82,3,"Weekday",7,"Dec"
23,2019,"Art gallery",13,82,3,"Weekday",0,"Dec"
23,2019,"West End",13,82,3,"Weekday",65,"Dec"
0,2019,"Art gallery",13,84,3,"Weekday",0,"Dec"
0,2019,"The Crossing",13,84,3,"Weekday",7,"Dec"
0,2019,"West End",13,84,3,"Weekday",65,"Dec"
1,2019,"Art gallery",13,95,3,"Weekday",0,"Dec"
1,2019,"Lichfield",13,95,3,"Weekday",0,"Dec"
1,2019,"West End",13,95,3,"Weekday",65,"Dec"
1,2019,"The Crossing",13,95,3,"Weekday",7,"Dec"
1,2019,"Hereford St",13,95,3,"Weekday",36,"Dec"
2,2019,"Art gallery",13,95,3,"Weekday",1,"Dec"
2,2019,"West End",13,95,3,"Weekday",65,"Dec"
2,2019,"Lichfield",13,95,3,"Weekday",0,"Dec"
2,2019,"Hereford St",13,95,3,"Weekday",37,"Dec"
2,2019,"The Crossing",13,95,3,"Weekday",7,"Dec"
3,2019,"Art gallery",12,95,2,"Weekday",1,"Dec"
3,2019,"The Crossing",12,95,2,"Weekday",6,"Dec"
3,2019,"Lichfield",12,95,2,"Weekday",0,"Dec"
4,2019,"Hereford St",12,96,3,"Weekday",37,"Dec"
4,2019,"West End",12,96,3,"Weekday",65,"Dec"
4,2019,"Lichfield",12,96,3,"Weekday",0,"Dec"
5,2019,"Art gallery",12,96,3,"Weekday",1,"Dec"
5,2019,"Lichfield",12,96,3,"Weekday",0,"Dec"
5,2019,"Hereford St",12,96,3,"Weekday",37,"Dec"
5,2019,"West End",12,96,3,"Weekday",65,"Dec"
6,2019,"Art gallery",12,95,3,"Weekday",1,"Dec"
6,2019,"West End",12,95,3,"Weekday",65,"Dec"
6,2019,"Hereford St",12,95,3,"Weekday",38,"Dec"
6,2019,"The Crossing",12,95,3,"Weekday",7,"Dec"
7,2019,"Hereford St",13,87,4,"Weekday",39,"Dec"
7,2019,"West End",13,87,4,"Weekday",66,"Dec"
7,2019,"Art gallery",13,87,4,"Weekday",1,"Dec"
7,2019,"The Crossing",13,87,4,"Weekday",7,"Dec"
8,2019,"Hereford St",15,78,6,"Weekday",43,"Dec"
8,2019,"Lichfield",15,78,6,"Weekday",8,"Dec"
8,2019,"Art gallery",15,78,6,"Weekday",1,"Dec"
8,2019,"West End",15,78,6,"Weekday",67,"Dec"
9,2019,"The Crossing",16,70,9,"Weekday",15,"Dec"
9,2019,"Art gallery",16,70,9,"Weekday",6,"Dec"
9,2019,"Lichfield",16,70,9,"Weekday",13,"Dec"
9,2019,"Hereford St",16,70,9,"Weekday",48,"Dec"
9,2019,"West End",16,70,9,"Weekday",68,"Dec"
10,2019,"The Crossing",18,60,13,"Weekday",31,"Dec"
10,2019,"Lichfield",18,60,13,"Weekday",19,"Dec"
10,2019,"Art gallery",18,60,13,"Weekday",17,"Dec"
10,2019,"West End",18,60,13,"Weekday",68,"Dec"
10,2019,"Hereford St",18,60,13,"Weekday",52,"Dec"
11,2019,"West End",20,54,17,"Weekday",69,"Dec"
11,2019,"Lichfield",20,54,17,"Weekday",28,"Dec"
11,2019,"The Crossing",20,54,17,"Weekday",47,"Dec"
11,2019,"Hereford St",20,54,17,"Weekday",57,"Dec"
11,2019,"Art gallery",20,54,17,"Weekday",21,"Dec"
12,2019,"West End",22,49,21,"Weekday",72,"Dec"
12,2019,"The Crossing",22,49,21,"Weekday",62,"Dec"
12,2019,"Hereford St",22,49,21,"Weekday",59,"Dec"
12,2019,"Lichfield",22,49,21,"Weekday",38,"Dec"
12,2019,"Art gallery",22,49,21,"Weekday",23,"Dec"
13,2019,"West End",23,46,23,"Weekday",75,"Dec"
14,2019,"Art gallery",24,44,25,"Weekday",20,"Dec"
14,2019,"The Crossing",24,44,25,"Weekday",61,"Dec"
14,2019,"Lichfield",24,44,25,"Weekday",36,"Dec"
14,2019,"West End",24,44,25,"Weekday",73,"Dec"
14,2019,"Hereford St",24,44,25,"Weekday",56,"Dec"
15,2019,"West End",25,42,26,"Weekday",71,"Dec"
15,2019,"The Crossing",25,42,26,"Weekday",44,"Dec"
15,2019,"Hereford St",25,42,26,"Weekday",53,"Dec"
16,2019,"West End",25,42,29,"Weekday",68,"Dec"
16,2019,"Art gallery",25,42,29,"Weekday",14,"Dec"
16,2019,"The Crossing",25,42,29,"Weekday",32,"Dec"
16,2019,"Lichfield",25,42,29,"Weekday",18,"Dec"
17,2019,"Hereford St",25,43,29,"Weekday",48,"Dec"
17,2019,"The Crossing",25,43,29,"Weekday",22,"Dec"
17,2019,"West End",25,43,29,"Weekday",67,"Dec"
17,2019,"Lichfield",25,43,29,"Weekday",14,"Dec"
18,2019,"Hereford St",24,46,28,"Weekday",44,"Dec"
18,2019,"Art gallery",24,46,28,"Weekday",3,"Dec"
18,2019,"The Crossing",24,46,28,"Weekday",16,"Dec"
18,2019,"Lichfield",24,46,28,"Weekday",13,"Dec"
18,2019,"West End",24,46,28,"Weekday",66,"Dec"
19,2019,"Lichfield",22,50,28,"Weekday",14,"Dec"
19,2019,"Hereford St",22,50,28,"Weekday",43,"Dec"
19,2019,"West End",22,50,28,"Weekday",66,"Dec"
19,2019,"The Crossing",22,50,28,"Weekday",18,"Dec"
20,2019,"Lichfield",21,56,27,"Weekday",12,"Dec"
20,2019,"Hereford St",21,56,27,"Weekday",41,"Dec"
20,2019,"West End",21,56,27,"Weekday",68,"Dec"
